simple_name,country,type,average_volume,high_52_weeks,dividend_yield,low_52_weeks,market_cap,pb_ratio,shares_outstanding,sector,industry,num_employees,year_founded
AGC Inc,JP,0,66628.7,7.54,2.70072,5.43,6536580577,0.597768,1107851650,Process Industries,Industrial Specialties,54101,1907
Kirin Holdings,JP,0,39925.1,24.21,2.30431,18.75,17582626779,2.04319,868728669,Consumer Non-Durables,Beverages: Alcoholic,30464,1907
British Petroleum,GB,0,15764992,45.38,7.75675,29.71,1.02E+11,1.10483,3348627833,Energy Minerals,Integrated Oil,73000,1909
Tenaris,LU,0,3924247.9,30.32,2.90948,17.64,10689789700,0.916365,590268415,Non Energy Minerals,Steel,23472,1909
Hitachi,JP,0,47547.4,86.87,2.11315,56.28,32614834002,1.10055,483118623,Producer Manufacturing,Industrial Conglomerates,295941,1910
Sharp,JP,0,67478.4,4.04,0.9756,2.15,7148385710,2.87495,2125236728,Consumer Durables,Electronics/Appliances,54156,1912
Volvo,SE,0,61882.5,18.05,2.7457,12.879,32671821420,2.31297,1577232273,Producer Manufacturing,Trucks/Construction/Farm Machinery,105175,1915
Makita,JP,0,24373.5,39.98,1.40914,27.47,9696060661,1.75939,271517707,Consumer Durables,Tools & Hardware,16424,1915
Naspers,ZA,0,421003.8,52.08,0.2189,27.25,66860843556,3.2204,2176275880,Communications,Major Telecommunications,20196,1915
BMW,DE,0,136796,29.25,4.2927,21,41809555087,0.694243,1824227273,Consumer Durables,Motor Vehicles,134682,1916
Subaru,JP,0,126077.3,14.505,4.04482,11.03,18679424882,1.20412,1533632088,Consumer Durables,Motor Vehicles,34200,1917
Nitto Denko,JP,0,16519,29.71,2.72792,21.38,7977292375,1.19857,313793356,Electronic Technology,Semiconductors,26001,1918
Orkla,NO,0,43984.9,10.1825,2.609,7.48,8375742797,2.34543,1000304818,Consumer Non-Durables,Food: Specialty/Candy,18510,1918
Panasonic,JP,0,306399.6,11.77,2.37592,7.46,23438129144,1.23091,2332863036,Consumer Durables,Electronics/Appliances,271869,1918
Olympus,JP,0,10531.9,18.88,1.22093,6.2625,24936124352,6.5241,1285573644,Health Technology,Medical Specialties,35124,1919
Mazda,JP,0,247579.3,6.05,3.11983,3.28,4244750900,0.393766,1259573546,Consumer Durables,Motor Vehicles,49998,1920
Komatsu Ltd.,JP,0,210255.6,26,4.4099,19.26,19678844315,1.15015,944393084,Producer Manufacturing,Trucks/Construction/Farm Machinery,61908,1921
Mitsubishi Electric,JP,0,67505.2,30,2.15263,22.98,27291645189,1.19777,1072552945,Electronic Technology,Electronic Equipment/Instruments,145817,1921
Shimano,JP,0,50005.9,16.9,0.786625,13.4,12997046334,2.87612,927008850,Consumer Durables,Recreational Products,11600,1921
Telefonica,ES,0,3768311.5,9.01,5.72662,5.75,30569671107,1.4087,5115454573,Communications,Specialty Telecommunications,120138,1924
Total,FR,0,3202854.5,58.82,5.36988,41.32,1.10E+11,0.983817,2586405766,Energy Minerals,Integrated Oil,104460,1924
Daikin Industries,JP,0,122688,15.33,0.79666,10.89,40013939512,2.8913,2925530790,Producer Manufacturing,Industrial Machinery,76484,1924
Nomura,JP,0,216415.6,5.41,3.16262,3.05,15530185029,0.569693,3091696598,Finance,Investment Banks/Brokers,27864,1925
Novo Nordisk,DK,0,2001769.6,64.82,1.4395,46.47,1.40E+11,18.5254,1814560000,Health Technology,Pharmaceuticals: Major,43202,1925
Shin-Etsu Chemical,JP,0,178236.9,31.11,1.22446,19.64,46913916472,1.9758,1663054932,Process Industries,Chemicals: Specialty,21735,1926
PLDT Inc.,PH,0,86849,25.72,5.00921,18.54,4196080925,1.88788,216056000,Communications,Specialty Telecommunications,17222,1928
E.ON,DE,0,162181.9,12.51,3.00629,8.89,30261152538,5.58915,2607370433,Utilities,Electric Utilities,43302,1929
Oil Search,AU,0,16627.3,29.25,2.52086,17.11,5397112079,1.0149,304950000,Energy Minerals,Oil & Gas Production,1607,1929
Grupo Televisa,MX,0,1703194.1,12.605,0.8397,7.42,4756608680,1.12443,480482000,Consumer Services,Broadcasting,39165,1930
Bridgestone,JP,0,128465.6,21.37,3.35816,15.88,23859415018,1.12788,1312433492,Consumer Durables,Automotive Aftermarket,143509,1931
Marui Group,JP,0,9311.5,50.84,1.84863,34.29,4366836815,1.61236,107606507,Retail Trade,Department Stores,5326,1931
Banco Santander,MX,0,607211.9,8.74,4.75075,6.05,8636092091,1.42928,664537042,Finance,Regional Banks,16016,1932
OCBC Bank,SG,0,35982.2,18.06,4.05189,14.711,33482196964,0.986649,2202042688,Finance,Regional Banks,29706,1932
Nissan,JP,0,343530.6,17.38,6.51388,8.21,18140484993,0.359221,1956571101,Consumer Durables,Motor Vehicles,140564,1933
Omron,JP,0,21107.6,63.5,1.11094,43.31,11166458294,2.13739,205359888,Electronic Technology,Electronic Equipment/Instruments,35090,1933
Fujifilm,JP,0,47441.2,53.46,1.15056,41.58,20252374900,1.08156,409386872,Consumer Durables,Electronics Or Appliances,72332,1934
United Overseas Bank,SG,0,83041.3,41.51,4.36164,33.79,29261887980,0.987274,828017000,Finance,Regional Banks,26153,1935
KBC Groupe,BE,0,86989,39.66,3.79887,28,27452471605,1.37064,832705430,Finance,Regional Banks,42000,1935
TDK,JP,0,10253.1,117.45,1.30697,66.38,12554789800,1.48972,126311170,Electronic Technology,Electronic Components,104781,1935
Eisai,JP,0,7102.2,90.82,1.67175,48.52,21434514800,3.56113,286596171,Health Technology,Pharmaceuticals Other,10683,1936
Canon,JP,0,808360,30.12,4.85652,23.975,33800049341,1.10949,1063832058,Electronic Technology,Electronic Equipment/Instruments,195056,1937
Toyota,JP,0,324372.7,145.41,2.68704,116.81,1.85E+11,0.987283,1390024486,Consumer Durables,Motor Vehicles,370870,1937
Ultrapar Participacoes,BR,0,2525308.7,7.26,2.1216,3.61,4715048815,2.04622,1086029702,Energy Minerals,Oil Refining/Marketing,16024,1937
Volkswagen,DE,0,174697.4,20.35,2.02528,15.66,83021056698,0.743067,2950900000,Consumer Durables,Motor Vehicles,664496,1937
Smith & Nephew,GB,0,1134331.2,52.26,1.5794,37.69,19426811854,4.08246,436449500,Health Technology,Medical Specialties,16377,1937
Bunzl,GB,0,85365.8,33.85,2.53947,23.79,8044498040,4.0182,334095713,Distribution Services,Wholesale Distributors,19006,1940
Grifols,ES,0,1810923.7,25.73,1.27095,17.57,19317633914,2.91082,258005437,Health Technology,Pharmaceuticals: Major,24016,1940
Companhia Siderurgica Nacional,BR,0,6455046.1,4.71,8.64202,2.335,3438325056,1.76266,1380110500,Non-Energy Minerals,Steel,35266,1941
Seiko Epson,JP,0,62952.1,8.2,2.93227,6.37,5661168587,0.985156,691859184,Electronic Technology,Electronic Equipment/Instruments,76647,1942
Vale,BR,0,47285072.9,14.19,2.87419,9.53,52411123800,1.31202,5128282457,Non Energy Minerals,Steel,71149,1942
Banco Bradesco S.A. American Depositary Shares,BR,0,7608.8,10.49,2.79026,5.57,51671854800,1.47153,4023948441,Finance,Major Banks,97329,1943
Banco Bradesco (Preferred),BR,0,20255775,12.105,2.71321,6.49,51671854800,1.66483,4007020416,Finance,Major Banks,97329,1943
Itau Unibanco,BR,0,30580595.7,10.01,2.00402,6.81,65812669146,2.04143,4785808294,Finance,Major Banks,95000,1943
Murata Manufacturing,JP,0,253186.9,18.33,2.27881,9.92,35844190206,2.2464,2559185108,Electronic Technology,Electronic Components,77571,1944
Bancolombia,CO,0,825330.8,56.1,2.62151,44.66,10967897740,1.3671,127426250,Finance,Regional Banks,31040,1945
Vestas Wind Systems,DK,0,82988.1,35.57,0.72941,23.85,18986342230,5.28627,586086261.6,Producer Manufacturing,Electrical Products,25541,1945
Wipro,IN,0,1402832.2,4.625,0.40126,3.33,17503369817,2.73275,6009571365,Technology Services,Information Technology Services,170000,1945
Embotelladora Andina,CL,0,2522,20.35,3.56558,11.76,2177389542,1.69893,78881500,Consumer Non-Durables,Beverages: Non-Alcoholic,16167,1946
Embotelladora Andina,CL,0,6005.7,22.99,3.44056,13.854,1183203000,1.7905,78880217,Consumer Non Durables,Beverages Non Alcoholic,16167,1946
Sony,JP,0,1957127.1,73.86,0.41711,41.91,78025987732,2.02082,1226417201,Consumer Durables,Electronics/Appliances,114400,1946
Mitsui & Co.,JP,0,2242.6,370.41,3.89887,292.55,28814523354,6.94698,86377790.3,Distribution Services,Wholesale Distributors,43993,1947
Tesco,GB,0,216140,10.386,2.95771,7.72,28583597490,1.7006,3264500000,Retail Trade,Food Retail,459636,1947
Ecopetrol,CO,0,1432811.2,23.24,5.41783,15.21,35956641600,2.1123,2055834734,Energy Minerals,Integrated Oil,12228,1948
Honda,JP,0,993730.7,29.44,3.35239,22.8732,47013341681,0.582243,1746912281,Consumer Durables,Motor Vehicles,219722,1948
Brasileira De Distribuicao,BR,0,611103.9,25.92,2.07732,15.49,4502532702,1.63934,168085414,Retail Trade,Food Retail,110000,1948
Alps Alpine,JP,0,14917.1,48.25,1.97143,29.15,3372622674,0.986865,102221904.5,Producer Manufacturing,Electrical Products,41840,1948
Denso,JP,0,106098.5,23.79,2.43173,18.67,30826753960,0.875451,1549742322,Producer Manufacturing,Auto Parts: OEM,171992,1949
Sasol,ZA,0,419717.3,34.03,5.63142,11.85,7490200327,0.4784,612044379,Process Industries,Chemicals: Specialty,31429,1950
Agricultural Bank of China,CN,0,16649.7,12.32,5.06115,9.21,1.68E+11,0.596134,1229552000,Finance,Regional Banks,473691,1951
Bayer,DE,0,683855.7,21.59,6.15045,14.61,70370960800,1.34023,3730368000,Health Technology,Pharmaceuticals: Other,116998,1952
CEMIG,BR,0,4907884,4.11,4.69902,2.85,4612040971,1.11544,970666351,Utilities,Electric Utilities,6083,1952
CEMIG,BR,0,943.5,5,4.39317,3.03,4612040971,1.1931,487613931,Utilities,Electric Utilities,6083,1952
Nippon Telegraph and Telephone,JP,0,151367.2,27,3.0656,20.34,91475883701,1.01377,3635212736,Communications,Major Telecommunications,303351,1952
Commerzbank,DE,0,150697.7,9.29,2.60286,5.21,7168524016,0.217339,1252360000,Finance,Regional Banks,49410,1952
Bachoco,MX,0,6889.5,57,1.94742,41.26,2135226004,1.07716,50000000,Process Industries,Agricultural Commodities/Milling,27597,1952
Eni,IT,0,571554.7,36.34,5.32831,24.19,43933439700,0.7838,1792470066,Energy Minerals,Integrated Oil,31701,1953
Petrobras,BR,0,10603987.7,15.745,3.22504,10.88,76251124114,1.05198,2800983546,Energy Minerals,Integrated Oil,57983,1953
Petrobras,BR,0,34307975.6,17.9,1.53247,11.51,76251124114,1.10879,3721113620,Energy Minerals,Integrated Oil,57983,1953
Woodside Petroleum,AU,0,98195.6,26.2,4.71292,17.5,16962501923,1.0259,940301694,Energy Minerals,Oil & Gas Production,3834,1954
China Construction Bank,CN,0,137644.6,18.37,4.54946,14.1,2.03E+11,0.718116,1.20E+11,Finance,Major Banks,345971,1954
Copel,BR,0,950296,18.15,3.57424,8.67,4561574887,1.07249,128297000,Utilities,Electric Utilities,7794,1954
Fanuc,JP,0,277197.8,20.05,2.09161,15.94,31357113600,2.59939,1919004640,Producer Manufacturing,Industrial Machinery,7866,1958
HSBC,GB,0,8352906,44.93,7.52147,32.34,1.36E+11,0.836853,4062740000,Finance,Major Banks,235217,1959
British Land,GB,0,631290.2,8.72,4.60961,5.68,5930026984,0.606811,926663624,Finance,Real Estate Investment Trusts,550,1959
Kyocera,JP,0,19926.5,70.79,2.22327,55.27,23791740146,0.979491,362433558,Electronic Technology,Electronic Equipment/Instruments,76863,1959
Ternium,LU,0,326665.9,29.25,6.62983,16.12,3474645996,0.539419,196307677.6,Non-Energy Minerals,Steel,20660,1961
CSL Limited,AU,0,70598,114.4,0.87,67.52,90554722236,17.517,907764000,Health Technology,Biotechnology,25000,1961
Unicharm,JP,0,221225.4,10.25,0.55507,5.47,19270153600,4.4268,2981146900,Consumer Non Durables,Household Or Personal Care,16207,1961
Rio Tinto,GB,0,3868009.3,64.02,7.83268,44.63,78786736676,1.9485,1254589349,Non-Energy Minerals,Other Metals/Minerals,46007,1962
Secom,JP,0,32136.9,23.46,1.31568,19.2,18546295505,1.84946,873043584,Commercial Services,Miscellaneous Commercial Services,56923,1962
Tokyo Electron,JP,0,67243.3,59.3,1.92561,32.03,32538205808,4.68218,622001440,Electronic Technology,Electronic Production Equipment,12742,1963
Mowi,NO,0,100752.1,26.374,4.62401,20.66,10807042193,3.3529,517111000,Process Industries,Agricultural Commodities/Milling,14537,1964
ORIX,JP,0,45238.8,89.21,3.8852,68.58,21392518849,0.749329,254895847.2,Finance,Finance/Rental/Leasing,31890,1964
Vedanta,IN,0,1097110.7,11.18,3.06475,6.25,6059036000,0.6475,925549484,Non Energy Minerals,Other Metals Or Minerals,37384,1965
Banco Macro,AR,0,343631.9,77.31,7.23954,21.41,2419930940,1.45332,62816200,Finance,Regional Banks,9028,1966
Hannover Re,DE,0,4985.1,104.16,2.39379,70.77,22251925500,1.95458,241161364,Finance,Multi Line Insurance,3317,1966
DBS Group,SG,0,66085.9,83.43,6.00392,67.69,44129780447,1.21376,636201375,Finance,Regional Banks,26000,1968
POSCO,KR,0,309882,61.22,4.72484,39.06,14034601894,0.348505,320462424,Non-Energy Minerals,Steel,33784,1968
Sociedad Quimica y Minera,CL,0,1669895.5,41.04,2.80709,22.71,6326000380,3.58372,120377000,Process Industries,Chemicals: Agricultural,5290,1968
Gold Fields,ZA,0,10783145.5,7.9,1.38506,3.57,5178210426,1.8501,883333000,Non-Energy Minerals,Precious Metals,5601,1968
Standard Bank,ZA,0,81960.9,14.93,5.38053,9.26,15289507041,1.3174,1596127406,Finance,Regional Banks,53178,1969
Embraer,BR,0,1502832.4,21.1,0.62382,14.46,2783523965,0.768387,183979928,Electronic Technology,Aerospace & Defense,18520,1969
Australia and New Zealand Banking Group,AU,0,184740,20.08,6.85095,15.5,45404769759,1.0807,2836180000,Finance,Major Banks,39060,1970
CRH,IE,0,1155553.8,40.88,2.59243,29.945,26446552277,1.577,785366459,Non-Energy Minerals,Construction Materials,90000,1970
Banco do Brasil,BR,0,450772.8,14.72,4.32943,9.82,29761491906,1.30236,2786483507,Finance,Regional Banks,96889,1971
Shanghai Petrochemical,CN,0,60965.5,52.67,12.2195,24.8978,91114650000,0.694352,34950000,Process Industries,Chemicals Specialty,9597,1972
Equinor,NO,0,7202252,23.97,5.28231,14.775,49788412176,1.29452,3328307329,Energy Minerals,Integrated Oil,20525,1972
Sanofi,FR,0,3197935.7,51.84,2.371,40,1.16E+11,1.80386,2506360000,Health Technology,Pharmaceuticals: Major,104226,1973
Geely Automobile,HK,0,32406.3,48.1,2.30821,26.45,16369082862,2.4387,460191500,Consumer Durables,Motor Vehicles,52400,1973
Nidec,JP,0,98770.2,38.45,0.17236,28.44,35324320451,4.01736,1177172932,Producer Manufacturing,Electrical Products,108906,1973
Glencore,CH,0,437898.3,8.91,6.89921,4.74,31666320000,0.800173,6597160435,Non Energy Minerals,Other Metals Or Minerals,158000,1974
Daito Trust Construction,JP,0,54290,36.8,4.61052,24.22,7695054155,2.89661,273645396,Finance,Real Estate Development,17646,1974
Swire Pacific,HK,0,148442.7,13.15,4.00963,8.58,8074437500,0.3813,905206000,Producer Manufacturing,Industrial Conglomerates,92747,1974
Commercial International Bank,EG,0,72383.5,5.51,1.03506,3.8,7758670989,2.27378,1823174971,Finance,Regional Banks,6900,1975
Power Assets Holdings,HK,0,7493.3,7.67,4.50909,6.532,15199636380,1.4016,2134261654,Utilities,Electric Utilities,11,1976
Banco Santander-Chile,CL,0,581596.5,31.84,4.47255,17.23,8382479437,1.90106,471115000,Finance,Regional Banks,11305,1977
YPF,AR,0,2123051.6,18.73,2.71978,7.72,4168210629,0.348119,393261000,Energy Minerals,Integrated Oil,21314,1977
BAE Systems,GB,0,310881,34.74,3.56935,22.36,24917446999,3.5654,800917603.8,Electronic Technology,Aerospace & Defense,78000,1979
Grupo Supervielle,AR,0,945212,9.03,2.57424,2.25,328553946,0.727288,78996800,Finance,Major Banks,5307,1979
Ryohin Keikaku,JP,0,78066.8,38.005,1.91671,12.86,3847335577,1.90901,262930060,Consumer Non-Durables,Apparel/Footwear,9137,1979
United Microelectronics,TW,0,989479.3,2.85,2.55988,1.82,5924208911,0.913674,2344860000,Electronic Technology,Semiconductors,19929,1980
Experian,IE,0,126054.2,37.71,1.25379,25.91,30059699805,13.9056,900265000,Commercial Services,Miscellaneous Commercial Services,17200,1980
Pan Pac,JP,0,12005.9,18.98,0.38034,13.555,10505643837,3.3729,633652076,Retail Trade,Discount Stores,13546,1980
Enel Americas,CL,0,1889334.5,11.21,4.20234,7.59,12706867703,13.9849,1521726000,Utilities,Electric Utilities,17295,1981
KT,KR,0,826265.3,13.715,2.63762,9.605,5138388226,0.425226,490483484,Communications,Major Telecommunications,23835,1981
SoftBank,JP,0,2670088.5,28.04,0.45082,18.31,97123619408,1.4755,4142475344,Communications,Specialty Telecommunications,76866,1981
Danske Bank,DK,0,64044,10.3,5.34473,6.38,13262624321,0.589358,1707410588,Finance,Major Banks,20683,1983
Swatch Group,CH,0,127272.6,15.87,1.98433,11.17,6078361800,1.0206,577420000,Consumer Durables,Other Consumer Specialties,37123,1983
Persimmon,GB,0,9604.7,86.9,8.18952,44.33,11564809306,3.3424,159253766.5,Consumer Durables,Homebuilding,4943,1984
SK Telecom,KR,0,617513.2,25.8,3.96295,19.01,14128006587,0.675747,646834821.4,Communications,Wireless Telecommunications,4945,1984
Dr. Reddy's Laboratories,IN,0,167274.2,46.19,0.65345,34.67,6734438232,3.13969,166111000,Health Technology,Pharmaceuticals: Generic,21966,1984
Banco Santander Brasil,BR,0,2054537.4,12.85,7.11195,8.27,33209923500,1.36979,3733421000,Finance,Regional Banks,48012,1985
Lloyds Banking Group,GB,0,14886688.8,3.58,6.45591,2.3,45158044922,0.805053,17507150000,Finance,Major Banks,77754,1985
Japan Tobacco,JP,0,154411.6,12.86,4.52684,9.5,35192291200,1.4363,3547606868,Consumer Non Durables,Tobacco,63968,1985
LG Display,KR,0,488894.3,9.81,2.40761,5.08,4006828736,0.3862,715632000,Electronic Technology,Electronic Production Equipment,30438,1985
Techtronic,HK,0,23043.9,45.73,1.37007,30.88,14805748748,4.7604,365697400,Consumer Durables,Tools & Hardware,23436,1985
Spark New Zealand,NZ,0,36710.5,15.4365,4.08504,11.75,5167302317,5.56097,367410000,Communications,Major Telecommunications,5276,1987
Taiwan Semiconductor Manufacturing,TW,0,12043026,60.64,2.21362,37.18,2.71E+11,5.67595,5186080000,Electronic Technology,Semiconductors,48752,1987
ABB Group,CH,0,2889715.3,25.3,5.78747,17.71,46613115030,3.4118,2133502847,Producer Manufacturing,Electrical Products,146600,1988
Banco Bilbao Vizcaya Argentaria,ES,0,10901812,6.44,4.70684,4.62,31747351131,0.593741,6655272811,Finance,Major Banks,125627,1988
Ping An Insurance,CN,0,245421.8,25.91,2.00262,19.99,2.03E+11,2.11003,3723790000,Finance,Multi-Line Insurance,372194,1988
Central Japan Railway,JP,0,175647.9,24.38,1.07495,15.99,33956149562,0.944267,1963058310,Transportation,Railroads,29128,1988
Gazprom,RU,0,1131383.3,8.5,6.86336,4.47,70073856000,0.313673,11063500000,Energy Minerals,Integrated Oil,466100,1989
SSE,GB,0,442665.9,21.91,5.69816,12.75,20114646659,4.6255,1027460000,Utilities,Electric Utilities,12111,1989
Central Puerto,AR,0,229515.5,10.915,2.80028,2.52,637668519,0.590009,151402000,Utilities,Electric Utilities,803,1989
Toray Industries,JP,0,146336.2,15.69,1.7827,11.06,9448721969,0.837,799974237.5,Process Industries,Textiles,48320,1989
Adidas,DE,0,119895.5,176.36,0.97503,114.9,55157874200,7.00211,395722572,Consumer Non-Durables,Apparel/Footwear,57016,1989
Telecom Argentina,AR,0,244682.3,18.55,10.9243,8.53,6707537376,1.00094,127897656,Communications,Major Telecommunications,25343,1990
Intesa Sanpaolo,IT,0,135405,16.905,6.70612,12.11,40759808400,0.690997,2915582994,Finance,Major Banks,92117,1991
ING Group,NL,0,8086374.5,13.72,6.42556,9.02,36850209303,0.619009,3895890000,Finance,Financial Conglomerates,54804,1991
Commonwealth Bank of Australia,AU,0,38073.8,61.21,5.47231,48.94,93340576101,1.8359,1769423311,Finance,Major Banks,48238,1991
Coca-Cola FEMSA,MX,0,187218,69,3.25716,54.14,2916480302,1.90099,52520800,Consumer Non-Durables,Beverages: Non-Alcoholic,83344,1991
Telkom Indonesia,ID,0,214386.5,31.48,2.55824,23.63,24096681373,3.45219,990622000,Communications,Major Telecommunications,24071,1991
Veon,NL,0,12810837,3.275,18.3333,1.85,3270873100,2.6403,1749127404,Communications,Wireless Telecommunications,46132,1992
AstraZeneca,GB,0,4718275.7,51.55,2.9867,37.115,1.14E+11,9.89501,2624380000,Health Technology,Pharmaceuticals: Major,64400,1992
Brilliance Auto,HK,0,3557,12.35,2.83812,8.31,4272881368,0.9152,5045270000,Consumer Durables,Motor Vehicles,6541,1992
Mobile Telesystems,RU,0,4193701.8,11,7.1386,7.39,9530972345,16.0058,999190000,Communications,Wireless Telecommunications,65374,1993
Turkcell,TR,0,553962.2,6.63,4.53207,4.6,4872264722,1.60446,873568993.2,Communications,Wireless Telecommunications,20120,1993
AAC Technologies,CN,0,71474.9,9.04,2.31859,4.19,7867335000,2.94587,1208500000,Electronic Technology,Electronic Components,35995,1993
Temenos,CH,0,5161.8,184.31,0.47991,134.8,10316609385,28.7413,70898133,Technology Services,Information Technology Services,5744,1993
